# time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-9.859999999999999432e+00,9.999999609478739115e-01,-2.222812773161575678e-04,1.026910918601194018e-04,1.347212832093165396e-04,4.445902306402087245e-04,-2.053222851044378308e-04,-2.694882174527839344e-04,0.000000000000000000e+00
-9.730000000000000426e+00,9.999999363788273365e-01,-1.269163376634194174e-04,1.961780577275884746e-04,2.695343284852316215e-04,2.539384348882495375e-04,-3.922876839348298384e-04,-5.391184866735700392e-04,0.000000000000000000e+00
-9.599999999999999645e+00,9.999999030543156309e-01,-1.699637746339208633e-04,2.296767021753130670e-04,3.350407247324590945e-04,3.400814608279537576e-04,-4.592394863881698783e-04,-6.701595787735239312e-04,0.000000000000000000e+00
-9.470000000000000639e+00,9.999997896156738175e-01,-2.333430164310555232e-04,3.924940381698206163e-04,4.607255962150767574e-04,4.670477595779983751e-04,-7.847729775425581721e-04,-9.216345843340325011e-04,0.000000000000000000e+00
-9.339999999999999858e+00,9.999997363417039153e-01,-2.071668629411712670e-04,4.553968147435585368e-04,5.263194416380866970e-04,4.148131689011481547e-04,-9.105754432871370884e-04,-1.052827922973572890e-03,0.000000000000000000e+00
-9.210000000000000853e+00,9.999996267638002756e-01,-2.705343553808491064e-04,5.683574661394060661e-04,5.918219438324188748e-04,5.417416179553088745e-04,-1.136394536268057077e-03,-1.183952007399942689e-03,0.000000000000000000e+00
-9.089999999999999858e+00,9.999996615428068392e-01,-2.736780283894463565e-04,5.165575439243498502e-04,5.789498357694619277e-04,5.479543129973026830e-04,-1.032798030093694816e-03,-1.158182897168784148e-03,0.000000000000000000e+00
-8.960000000000000853e+00,9.999995859865126180e-01,-3.170517825372373721e-04,4.513040364843591817e-04,7.237607596214917349e-04,6.347568757828071610e-04,-9.021488823712373517e-04,-1.447808188416937298e-03,0.000000000000000000e+00
-8.830000000000000071e+00,9.999995761231318392e-01,-3.509065723893611192e-04,4.848893781559719890e-04,6.996430697220409759e-04,7.024917340635348584e-04,-9.692874783193776954e-04,-1.399626962513465583e-03,0.000000000000000000e+00
-8.699999999999999289e+00,9.999994764654288604e-01,-2.749861903012162045e-04,5.078557974606478457e-04,8.447093891982503620e-04,5.508303855262842736e-04,-1.015246670734281514e-03,-1.689698875435030568e-03,0.000000000000000000e+00
