T,加速度X(G),加速度Y(G),加速度Z(G),加速度合計(G),地磁気X(gauss),地磁気Y(gauss),地磁気Z(gauss),ジャイロX(dps),ジャイロY(dps),ジャイロZ(dps),気圧(hPa),高度(m),気温(℃),飛行状態,,
- 9.99,-0.070,-0.020,1.075,1.080,0.527,-0.648,-0.204,-3.080,3.299,-3.780,980.64,275.06,39.54,0,,
- 9.86,-0.088,-0.025,1.073,1.080,0.528,-0.648,-0.204,-3.229,3.386,-3.623,980.72,274.41,39.54,0,,
- 9.73,-0.082,-0.023,1.072,1.080,0.528,-0.648,-0.207,-2.949,3.378,-3.623,980.61,275.29,39.54,0,,
- 9.60,-0.072,-0.034,1.069,1.070,0.527,-0.648,-0.205,-3.071,3.325,-3.684,980.64,275.02,39.54,0,,
- 9.47,-0.079,-0.031,1.073,1.080,0.527,-0.648,-0.205,-3.089,3.439,-3.631,980.67,274.85,39.55,0,,
- 9.34,-0.075,-0.034,1.076,1.080,0.528,-0.647,-0.205,-3.010,3.351,-3.684,980.63,275.18,39.54,0,,
- 9.21,-0.079,-0.025,1.071,1.070,0.527,-0.647,-0.206,-3.089,3.395,-3.684,980.69,274.6,39.54,0,,
- 9.09,-0.081,-0.021,1.072,1.070,0.528,-0.647,-0.206,-3.036,3.246,-3.754,980.68,274.72,39.54,0,,
- 8.96,-0.075,-0.025,1.078,1.080,0.528,-0.647,-0.206,-3.071,3.238,-3.614,980.69,274.68,39.54,0,,
- 8.83,-0.073,-0.015,1.069,1.070,0.528,-0.647,-0.206,-3.063,3.325,-3.763,980.67,274.78,39.55,0,,
- 8.70,-0.075,-0.025,1.075,1.080,0.528,-0.648,-0.205,-2.966,3.316,-3.614,980.64,275.08,39.54,0,,
- 8.56,-0.072,-0.026,1.071,1.070,0.527,-0.647,-0.205,-3.045,3.343,-3.824,980.67,274.8,39.54,0,,
- 8.43,-0.077,-0.029,1.073,1.080,0.527,-0.648,-0.206,-3.159,3.421,-3.824,980.51,276.19,39.54,0,,
- 8.31,-0.078,-0.030,1.078,1.080,0.528,-0.647,-0.205,-3.063,3.308,-3.675,980.67,274.8,39.54,0,,
- 8.18,-0.081,-0.025,1.072,1.080,0.528,-0.647,-0.205,-3.019,3.168,-3.763,980.67,274.79,39.54,0,,
- 8.05,-0.078,-0.022,1.067,1.070,0.528,-0.647,-0.205,-3.106,3.299,-3.693,980.6,275.38,39.54,0,,
- 7.92,-0.083,-0.023,1.070,1.070,0.528,-0.647,-0.206,-3.098,3.465,-3.649,980.55,275.85,39.55,0,,
- 7.79,-0.071,-0.029,1.080,1.080,0.528,-0.648,-0.205,-3.185,3.360,-3.658,980.54,275.88,39.54,0,,
- 7.66,-0.087,-0.031,1.075,1.080,0.528,-0.647,-0.205,-3.036,3.395,-3.570,980.63,275.12,39.54,0,,
- 7.53,-0.083,-0.017,1.069,1.070,0.528,-0.647,-0.205,-3.010,3.308,-3.640,980.58,275.57,39.54,0,,
- 7.40,-0.075,-0.023,1.067,1.070,0.528,-0.648,-0.205,-3.080,3.378,-3.859,980.65,274.99,39.54,0,,
- 7.27,-0.077,-0.028,1.076,1.080,0.527,-0.647,-0.206,-3.098,3.255,-3.815,980.61,275.34,39.54,0,,
- 7.14,-0.072,-0.030,1.079,1.080,0.529,-0.645,-0.203,-2.958,3.343,-3.763,980.63,275.17,39.54,0,,
- 7.01,-0.073,-0.029,1.075,1.080,0.528,-0.647,-0.205,-3.124,3.369,-3.745,980.6,275.37,39.54,0,,
- 6.88,-0.075,-0.029,1.077,1.080,0.528,-0.647,-0.205,-3.185,3.308,-3.824,980.65,274.96,39.54,0,,
- 6.75,-0.072,-0.029,1.070,1.070,0.530,-0.645,-0.202,-3.098,3.290,-3.666,980.68,274.69,39.54,0,,
- 6.62,-0.076,-0.028,1.075,1.080,0.527,-0.647,-0.204,-3.185,3.316,-3.938,980.62,275.21,39.54,0,,
- 6.49,-0.083,-0.020,1.069,1.070,0.530,-0.645,-0.203,-3.063,3.220,-3.684,980.65,274.98,39.55,0,,
- 6.36,-0.076,-0.031,1.078,1.080,0.529,-0.647,-0.206,-3.063,3.378,-3.868,980.62,275.25,39.54,0,,
- 6.23,-0.075,-0.030,1.080,1.080,0.529,-0.647,-0.206,-3.001,3.334,-3.798,980.65,274.95,39.54,0,,
- 6.10,-0.072,-0.019,1.069,1.070,0.529,-0.645,-0.203,-3.045,3.115,-3.623,980.7,274.57,39.54,0,,
- 5.98,-0.074,-0.029,1.075,1.080,0.528,-0.648,-0.207,-3.115,3.220,-3.719,980.68,274.71,39.54,0,,
- 5.85,-0.075,-0.025,1.072,1.070,0.530,-0.646,-0.203,-3.115,3.080,-3.728,980.61,275.34,39.54,0,,
- 5.72,-0.072,-0.026,1.078,1.080,0.527,-0.646,-0.206,-3.124,3.229,-3.754,980.66,274.89,39.54,0,,
