time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-9.859999999999999432e+00,9.999999613708421276e-01,-2.213687778515287111e-04,1.092530347178650768e-04,1.277417434561847265e-04,-4.427096512894942385e-04,2.185626188023925452e-04,2.554351155004656198e-04,0.000000000000000000e+00
-9.730000000000000426e+00,9.999999381215110006e-01,-1.475483167561231527e-04,1.926645727645223585e-04,2.546896750880576674e-04,-2.949985020849167573e-04,3.854042892922668979e-04,5.093225238366639197e-04,0.000000000000000000e+00
-9.599999999999999645e+00,9.999999049634773485e-01,-1.978811143162751264e-04,2.212053523495926795e-04,3.193497969710683716e-04,-3.956209563111400961e-04,4.425370636857129075e-04,6.386120944587443107e-04,0.000000000000000000e+00
-9.470000000000000639e+00,9.999997934607511851e-01,-2.690233592183870941e-04,3.788779083721976765e-04,4.440229920638196284e-04,-5.377103266878811199e-04,7.579946379369115281e-04,8.878423183958127681e-04,0.000000000000000000e+00
-9.339999999999999858e+00,9.999997462058326514e-01,-2.569520675818848200e-04,4.424844716177027772e-04,4.957533631919038876e-04,-5.134655021513354371e-04,8.852236039520867787e-04,9.912796308834540601e-04,0.000000000000000000e+00
-9.210000000000000853e+00,9.999996395787847936e-01,-3.415192017063167231e-04,5.443910169267149931e-04,5.548381344867629695e-04,-6.824345171849626000e-04,1.089160832526849367e-03,1.109304914530272450e-03,0.000000000000000000e+00
-9.089999999999999858e+00,9.999996746332258102e-01,-3.651952427141484376e-04,4.878653439539962309e-04,5.285388186439073837e-04,-7.298749487549125630e-04,9.761165651698440471e-04,1.056721661234996277e-03,0.000000000000000000e+00
-8.960000000000000853e+00,9.999996032542244340e-01,-4.284190386100152829e-04,4.190714400587390955e-04,6.590353925212637373e-04,-8.562857772613833261e-04,8.387073325350245323e-04,1.317712030533654344e-03,0.000000000000000000e+00
-8.830000000000000071e+00,9.999995901822250621e-01,-4.822949051505833113e-04,4.487855335564208269e-04,6.209819246364369112e-04,-9.640325777551830800e-04,8.981698128694256189e-04,1.241531266067736347e-03,0.000000000000000000e+00
-8.699999999999999289e+00,9.999995158878461909e-01,-4.139563570814765755e-04,4.740869129376793661e-04,7.563767620291525712e-04,-8.271956033765268806e-04,9.487997231457537348e-04,1.512361546384131126e-03,0.000000000000000000e+00
-8.560000000000000497e+00,9.999995526019442860e-01,-4.420765088943403643e-04,5.274183408243197056e-04,6.489947342633214369e-04,-8.834686457391200450e-04,1.055410216304851316e-03,1.297523656018623617e-03,0.000000000000000000e+00
-8.429999999999999716e+00,9.999994491693390275e-01,-5.986542154578783229e-04,6.589423810336006481e-04,5.559398232661547697e-04,-1.196576432489968511e-03,1.318550049639502725e-03,1.111091271275023743e-03,0.000000000000000000e+00
-8.310000000000000497e+00,9.999993791792819442e-01,-6.423047810062127274e-04,6.730877143303724700e-04,6.132198198746300179e-04,-1.283784780271701904e-03,1.346962748272365236e-03,1.225575642031711014e-03,0.000000000000000000e+00
-8.179999999999999716e+00,9.999994898648867370e-01,-6.380574387905425630e-04,5.301409908476844082e-04,5.762839583061198133e-04,-1.275504266901840694e-03,1.061017044415785539e-03,1.151891710948313181e-03,0.000000000000000000e+00
-8.050000000000000711e+00,9.999993969095505308e-01,-7.319961913825753178e-04,5.362424207893357010e-04,6.187133235871157717e-04,-1.463329304429368191e-03,1.073390192486846145e-03,1.236641873679011645e-03,0.000000000000000000e+00
-7.919999999999999929e+00,9.999991447302493119e-01,-8.242558741391330145e-04,7.247533029391421602e-04,7.112479688430037913e-04,-1.647481858526718369e-03,1.450678375609297304e-03,1.421301930803464501e-03,0.000000000000000000e+00
-7.790000000000000036e+00,9.999988591406605565e-01,-1.001252985106426772e-03,8.000967912762299008e-04,7.994091325485849038e-04,-2.001228379378060945e-03,1.601793263481767881e-03,1.597216970601387934e-03,0.000000000000000000e+00
-7.660000000000000142e+00,9.999985838422595918e-01,-1.015951037780604780e-03,9.154300352246282904e-04,9.808898073860956770e-04,-2.030108130459260668e-03,1.832851575894715087e-03,1.959921319188318457e-03,0.000000000000000000e+00
-7.530000000000000249e+00,9.999984781489907881e-01,-1.001581487620107139e-03,9.322425137517107796e-04,1.082339189562083132e-03,-2.001146743520738555e-03,1.866651375848737970e-03,2.162813105340557433e-03,0.000000000000000000e+00
-7.400000000000000355e+00,9.999984660486407329e-01,-1.060442122255369221e-03,1.027283750674990847e-03,9.423645611720296404e-04,-2.118950906241558445e-03,2.056564445585363620e-03,1.882552574386112468e-03,0.000000000000000000e+00
-7.269999999999999574e+00,9.999984997028131817e-01,-1.151498760438272829e-03,9.716215636874202949e-04,8.547480705411441160e-04,-2.301339467706714405e-03,1.945209921347558187e-03,1.707259993644541897e-03,0.000000000000000000e+00
-7.139999999999999680e+00,9.999985567444774626e-01,-1.075107747765806582e-03,1.043703321943224892e-03,8.008343574599613131e-04,-2.148547066912519579e-03,2.089127117318927227e-03,1.599426388486927236e-03,0.000000000000000000e+00
-7.009999999999999787e+00,9.999983481213498004e-01,-1.188654703954916637e-03,1.127916079108486546e-03,7.865493528835742435e-04,-2.375539446131222972e-03,2.257700221027365752e-03,1.570419349567324938e-03,0.000000000000000000e+00
-6.879999999999999893e+00,9.999981746176251907e-01,-1.369857540916669244e-03,1.142920781068128104e-03,6.840934313093593056e-04,-2.738156938406520729e-03,2.287713606201089139e-03,1.365057083891736689e-03,0.000000000000000000e+00
-6.750000000000000000e+00,9.999980086307981297e-01,-1.442502339296474400e-03,1.166753343414692057e-03,7.352605487070900227e-04,-2.883295057451005887e-03,2.335625393608041153e-03,1.467156608336962244e-03,0.000000000000000000e+00
-6.620000000000000107e+00,9.999978569181449117e-01,-1.614599539556363763e-03,1.190139086781614878e-03,5.126367114926743632e-04,-3.227986703701415678e-03,2.381930730779618661e-03,1.021431104901748474e-03,0.000000000000000000e+00
-6.490000000000000213e+00,9.999978484909481935e-01,-1.652413467588654573e-03,1.129230436231915555e-03,5.453272668904503512e-04,-3.303602672315973394e-03,2.260260150131551769e-03,1.086923266503683977e-03,0.000000000000000000e+00
-6.360000000000000320e+00,9.999977318123741687e-01,-1.699363507253271030e-03,1.223635771184407393e-03,3.889077986044678966e-04,-3.397784266275137837e-03,2.448590229730518084e-03,7.736574254705785511e-04,0.000000000000000000e+00
-6.230000000000000426e+00,9.999977432354036910e-01,-1.675964245763949178e-03,1.267672748168623261e-03,3.125279977246140793e-04,-3.351145612279629593e-03,2.536390065707340956e-03,6.208074732304635175e-04,0.000000000000000000e+00
-6.099999999999999645e+00,9.999978934661511998e-01,-1.692426727210186947e-03,1.081775996147667056e-03,4.225112145501171818e-04,-3.383946587933040883e-03,2.164979264501961601e-03,8.413610668649152942e-04,0.000000000000000000e+00
-5.980000000000000426e+00,9.999978033882480632e-01,-1.790727613228230986e-03,9.941657120024916666e-04,4.451379900333570709e-04,-3.580577017500852915e-03,1.989922611473390890e-03,8.867153362928905042e-04,0.000000000000000000e+00
-5.849999999999999645e+00,9.999978401284485008e-01,-1.878332399063067882e-03,7.766987321888017045e-04,4.339872292149464387e-04,-3.755995902014567459e-03,1.555025080487167739e-03,8.650559407174622517e-04,0.000000000000000000e+00
-5.719999999999999751e+00,9.999976802527896780e-01,-1.996329314553994642e-03,6.944435435958333774e-04,4.146160525020557925e-04,-3.992087975296232730e-03,1.390539733809247188e-03,8.264583984916777735e-04,0.000000000000000000e+00
-5.589999999999999858e+00,9.999975345375452518e-01,-2.063896392571973586e-03,6.136708686252271639e-04,5.428246272705184242e-04,-4.127131213104165419e-03,1.229579688692169440e-03,1.083114502265051637e-03,0.000000000000000000e+00
-5.459999999999999964e+00,9.999972005606285741e-01,-2.176049325683370242e-03,6.999558100317537388e-04,6.113445032132215195e-04,-4.351248650145467245e-03,1.402568792539084144e-03,1.219640808857652865e-03,0.000000000000000000e+00
-5.330000000000000071e+00,9.999972159405938754e-01,-2.116323071611274018e-03,7.731856856379701369e-04,7.010503639934818855e-04,-4.231567982381818568e-03,1.549334984052792678e-03,1.398826338126687389e-03,0.000000000000000000e+00
-5.200000000000000178e+00,9.999970335494392515e-01,-2.144257303593260014e-03,8.358155810973975832e-04,7.977877232833951960e-04,-4.287187426203065491e-03,1.675048310992975457e-03,1.591989211896416029e-03,0.000000000000000000e+00
-5.070000000000000284e+00,9.999968735341787651e-01,-2.210328739978662665e-03,7.267634194923504234e-04,9.160696808864205289e-04,-4.419331206780919945e-03,1.457572440975978250e-03,1.828923823907431523e-03,0.000000000000000000e+00
